prompt,scheduled_time,status,last_run
create instagram post that has 1 quote using design2 quote about productivity,2026-04-01 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about productivity,2026-04-01 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-01 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about goals,2026-04-01 20:00,pending,
create instagram post that has 1 quote using design2 quote about note-taking,2026-04-02 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about note-taking,2026-04-02 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-02 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about habits,2026-04-02 20:00,pending,
create instagram post that has 1 quote using design2 quote about planning,2026-04-03 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about planning,2026-04-03 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-03 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about deep work,2026-04-03 20:00,pending,
create instagram post that has 1 quote using design2 quote about time management,2026-04-04 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about time management,2026-04-04 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-04 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about creativity,2026-04-04 20:00,pending,
create instagram post that has 1 quote using design2 quote about focus,2026-04-05 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about focus,2026-04-05 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-05 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about mindfulness,2026-04-05 20:00,pending,
create instagram post that has 1 quote using design2 quote about organization,2026-04-06 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about organization,2026-04-06 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-06 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about prioritization,2026-04-06 20:00,pending,
create instagram post that has 1 quote using design2 quote about goals,2026-04-07 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about goals,2026-04-07 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-07 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about productivity,2026-04-07 20:00,pending,
create instagram post that has 1 quote using design2 quote about habits,2026-04-08 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about habits,2026-04-08 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-08 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about note-taking,2026-04-08 20:00,pending,
create instagram post that has 1 quote using design2 quote about deep work,2026-04-09 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about deep work,2026-04-09 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-09 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about planning,2026-04-09 20:00,pending,
create instagram post that has 1 quote using design2 quote about creativity,2026-04-10 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about creativity,2026-04-10 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-10 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about time management,2026-04-10 20:00,pending,
create instagram post that has 1 quote using design2 quote about mindfulness,2026-04-11 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about mindfulness,2026-04-11 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-11 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about focus,2026-04-11 20:00,pending,
create instagram post that has 1 quote using design2 quote about prioritization,2026-04-12 08:00,pending,
